codSubasta;aut_Fax;aut_Correo electrónico;Tipo de subasta;aut_Dirección;aut_Código;descripcion;adm_NIF;Identificador;expediente;aut_Teléfono;Forma adjudicación;Valor subasta;Lotes;Tramos entre pujas;Fecha de conclusión;adm_Nombre;Tasación;adm_Localidad;estado;autoridad;Importe del depósito;adm_Provincia;Puja mínima;Scrap;Anuncio BOE;Fecha de inicio;aut_Descripción;adm_Dirección;Cantidad reclamada;link;
SUBASTA SUB-JA-2017-4639;;;;;;vivienda c/suissa Urb Torre Gran TORROELLA MONTGR;;;0770/14;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 3 - BISBAL;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2017-46391&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-9898;;;;;;UNIC;;;0254/14;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 2 - SANTA COLOMA DE FARNERS;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-98982&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-9860;;;;;;FINCA NÚM.673;;;0624/13;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 3 - SANTA COLOMA DE FARNERS;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-98609&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-8573;;;;;;LOTE ÚNIC;;;0503/15;;;;;;;;;;Cancelad;JUZGADO 1ª INST E INSTRUCC. 6 - FIGUERES;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-85738&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-10201;;;;;;FINCA 6629 DE LA BISBAL D'EMPORDA, TOMO 2897, LIBRO 164, FOLIO 14;;;0538/11;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 4 - BISBAL;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-102011&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-10107;;;;;;Vehiculo Suzuki Vitara, matrícula B-6014-PY, año 1995, 225.469 km;;;0262/16;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 2 - OLOT;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-101071&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-9944;;;;;;Piso planta baja, 2º, esc. 2 edif Marenostrum, Gran Reserva Empuriabrava,  nº ;;;0818/14;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 1 - FIGUERES;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-99448&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-10060;;;;;;Finca 8406 Cassa de la Selva, Registro de la Propiedad 3 de Girona, tomo 2785, libro 195 y folio 3;;;0970/16;;;;;;;;;;Finalizada;JUZGADO 1ª INSTANCIA 4 - GIRONA;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-100606&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-9944;;;;;;FINCA 14967 DEL REGISTRO DE LA PROPIEDAD 2 DE ROSE;;;0391/16;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 2 - FIGUERES;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-99445&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-9840;;;;;;Vivienda en planta primera, puerta segunda, en C/ Los Amigos número 5 de Lloret de Ma;;;0196/16;;;;;;;;;;Concluida;JUZGADO 1ª INST E INSTRUCC. 2 - BLANES;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-98405&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-10062;;;;;;FINCA 379;;;0207/16;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 1 - SANTA COLOMA DE FARNERS;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-100628&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2017-5500;;;;;;Urbana.- Ochenta y seis. Vivienda nº 85, letra A, planta segunda, portal cinco;;;0384/16;;;;;;;;;;Concluida;JUZGADO 1ª INSTANCIA 4 - GIRONA;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2017-55003&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2017-79019;;;;;;Subasta con varios lotes. Lote 1: PORCION DE TERRENO SITA EN TERMINO MUNICIPAL DE LLORET DE MAR, FORMA IRREGULAR DE EXTENSION 1509M Lote 2: PORCION DE TERRENO SITA EN LLLORET DE MAR PARCELA 386 URB LLORET BLAU Lote 3: PORCION DE TERRENO EN LLORET DE MAR PARCELA 384 URB LLORET BLAU Lote 4: PORCION DE TERRENO LLORET DE MAR . PARCELA 382-B URBANIZ LLORET BLA;;;0536/15;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 6 - BLANES;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2017-79019&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-10005;;;;;;VIVIENDA SITA EN URBANIZACION ROCA DE MALVET 236 DE SANTA CRISTINA D'AR;;;0171/13;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 3 - SANT FELIU DE GUIXOLS;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-100057&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-9610;;;;;;FINCA REGISTRAL Nº 3.200 DE SANT JOAN DE PALAMÓS;;;0374/14;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 1 - BISBAL;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-96105&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-101019;;;;;;Subasta con varios lotes. Lote 1: FINCA 4756 de Porqueres, Registro de la Propiedad de Banyoles, tomo 3913, libro 101, folio 93 Lote 2: FINCA 4757 de Porqueres Registro de la Propiedad de Banyoles, tomo 3913, libro 101, folio 9;;;0784/16;;;;;;;;;;Finalizada;JUZGADO 1ª INSTANCIA 3 - GIRONA;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-101019&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-NE-2018-32577;;;;;;Ver detalle en contenido subast;;;;;;;;;;;;;Concluida;Notaría de Juan Ramón José Palomero Gil - Girona;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-NE-2018-325779&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-100663;;;;;;Subasta con varios lotes. Lote 1: LOTE núm. 1 Lote 2: LOTE núm. 2 Lote 3: LOTE núm. ;;;0054/15;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 4 - SANTA COLOMA DE FARNERS;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-100663&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-10060;;;;;;URBANA, VIVIENDA UNIFAMILAR AISLADA, SEGUN PD;;;0081/15;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 4 - SANTA COLOMA DE FARNERS;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-100607&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-9864;;;;;;FINCA NÚM.80;;;0507/13;;;;;;;;;;Cancelad;JUZGADO 1ª INST E INSTRUCC. 3 - SANTA COLOMA DE FARNERS;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-98646&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-9120;;;;;;vivienda tipo dúplex de 112 metros veinte decímetres cuadrados, mas catorce metros cuadrados porch;;;0030/14;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 2 - SANT FELIU DE GUIXOLS;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-91209&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-9678;;;;;;URBANA.NUMERO QUINCE.VIVIENDA PLANTA TERCERA PUERTA PRIMERA TIPO "D", del Edificio sito en GIRONA;;;1693/12;;;;;;;;;;Concluida;JUZGADO 1ª INSTANCIA 3 - GIRONA;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-96784&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2017-7446;;;;;;Finca registral núm. 29.712 de Palafrugell;;;0420/16;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 2 - BISBAL;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2017-74461&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-9991;;;;;;Vivienda cuarta planta, primer piso, en la Calle Antonio Machado nº 8 de Blane;;;0532/13;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 2 - BLANES;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-99911&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-10027;;;;;;finca núm. 8727 inscrita en el Registro de la Propiedad de Figuere;;;0559/14;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 4 - FIGUERES;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-100271&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
SUBASTA SUB-JA-2018-100309;;;;;;Subasta con varios lotes. Lote 1: FINCA Nº 24 Lote 2: FINCA Nº 38 Lote 3: FINCA Nº 859 Lote 4: FINCA Nº 1011 Lote 5: FINCA Nº 1036 Lote 6: FINCA Nº 119;;;0684/11;;;;;;;;;;Finalizada;JUZGADO 1ª INST E INSTRUCC. 7 - FIGUERES;;;;;;;;;;https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2018-100309&idBus=_U3NoS1lyN1Y2VzhHYzM1c1J1TkYrNnorWm5yV2FYbU4xaTd2VXpnSkdzTDg4aUwwYksvaENMRUhJVTluS1lPZHI0NEg2QjY5NkgwZzdkcVg1ZXdlcTZvSm1VeXQ5eER0ZFZsaThBVi9WRVR0c2VYZ3RDbVhyL29SSTVJNzlmVi93Z3VDMGRRV1lHa2NvMDFOaG10VzBHRmY1QjNvTVBwRUZHeWlrQjFXZENCTjRlcmRtT0hzOXptQXlKN25VeFUrLzVmTE8wS2I2Vm80UXlqQmFLRzZIQitHby85K0tOWkdYd3Jrc1lYZTk2aWhiMWNtcmw2bUlnTkovaHZiNTJpVg,,;
